za_nr;version;doi;lfd;gewicht;datum;bik;bl;wo;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;V1_1;V1_2;V1_3;V1_4;V1_5;V2;V3_1;V3_2;V3_3;V4;V5;V6;V7;V8_12;V8_13;V8_14;V8_15;V8_16;V8_17;V8_18;V8_19;V8_20;V8_21;V8_96;V8_97;V8_98;V8_99;V8_o;V9_12;V9_13;V9_14;V9_15;V9_16;V9_17;V9_18;V9_19;V9_20;V9_21;V9_22;V9_23;V9_24;V9_25;V9_96;V9_97;V9_98;V9_99;V9_o;V10_1;V10_2;V10_3;V10_4;V11
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3433001;,242524;2020/06/16;500000 und mehr;Niedersachsen;West;w;54;Abitur;ja;zwei;zwei;CDU/CSU;ja;3.500 Euro und mehr;Festnetz;wichtig;wichtig;wichtig;wichtig;sehr wichtig;ja;eher unzufrieden;eher unzufrieden;sehr unzufrieden;weniger gut;weniger stark;ja;weiß nicht, keine Angabe;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Schnelligkeit, Innovation;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme gar nicht zu;stimme eher nicht zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3436242;,502786;2020/06/17;100000 bis 500000;Niedersachsen;West;w;50;Mittlerer Bildungsabschl;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;1.500 bis unter 2.500 Euro;Mobilfunk;weniger wichtig;wichtig;wichtig;wichtig;weniger wichtig;ja;sehr zufrieden;eher zufrieden;eher zufrieden;gar nicht gut;sehr stark;ja;eher gegen Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;wahrscheinlich schnellere Verbindungen;nicht genannt;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Nachteile für Umwelt und Menschen;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;weiß nicht, keine Angabe;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3440271;,333509;2020/06/16;500000 und mehr;Hamburg;West;m;18;Abitur;nein;vier;vier;FDP;ja;keine Angabe;Mobilfunk;sehr wichtig;weniger wichtig;sehr wichtig;weniger wichtig;weniger wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;weniger gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schneller datenübertragung;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme gar nicht zu;stimme voll und ganz zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3450946;4,229527;2020/06/17;500000 und mehr;Hessen;West;w;20;Abitur;nein;drei;drei;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;ja;eher zufrieden;sehr zufrieden;eher zufrieden;gar nicht gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;viel bessere Erreichbarkeit;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3453414;4,782545;2020/06/16;500000 und mehr;Nordrhein-Westfalen;West;m;67;Volks-, Hauptschule;nein;eine Person;eine Person;SPD;ja;bis unter 1.500 Euro;Mobilfunk;wichtig;wichtig;weniger wichtig;sehr wichtig;weiß nicht, keine Angabe;ja;sehr zufrieden;sehr zufrieden;weiß nicht, keine Angabe;gar nicht gut;gar nicht;nein; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3453616;1,409978;2020/06/17;100000 bis 500000;Saarland;West;w;39;Studium;ja;zwei;zwei; ;nein;3.500 Euro und mehr;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;ist für Homeoffice sehr wichtig;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme voll und ganz zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3458352;2,058787;2020/06/17;50000 bis 100000;Sachsen;Ost;m;61;Volks-, Hauptschule;nein;drei;zwei;AfD;ja;bis unter 1.500 Euro;Mobilfunk;sehr wichtig;sehr wichtig;wichtig;wichtig;weniger wichtig;ja;sehr zufrieden;sehr zufrieden;sehr zufrieden;gut;stark;nein; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3461638;,227619;2020/06/16;500000 und mehr;Hamburg;West;m;61;Abitur;ja;zwei;zwei;SPD;ja;3.500 Euro und mehr;Mobilfunk;wichtig;wichtig;wichtig;wichtig;wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;weniger gut;weniger stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;dass es schneller geht.;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3462875;,213529;2020/06/16;500000 und mehr;Berlin;Ost;m;72;Abitur;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;1.500 bis unter 2.500 Euro;Mobilfunk;wichtig;wichtig;sehr wichtig;weniger wichtig;wichtig;ja;sehr zufrieden;eher zufrieden;eher unzufrieden;gut;weniger stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;weiß nicht, keine Angabe;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3464870;,231584;2020/06/17;5000 bis 20000;Bayern;West;m;59;Studium;ja;eine Person;eine Person;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;wichtig;sehr wichtig;sehr wichtig;wichtig;wichtig;ja;eher zufrieden;sehr zufrieden;eher zufrieden;gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schnellere, stabiler Netze mehr Einsatzmöglichkeiten;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher zu;weiß nicht, keine Angabe;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3465717;,224345;2020/06/17;500000 und mehr;Bayern;West;w;30;Studium;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;2.500 bis unter 3.500 Euro;Mobilfunk;weniger wichtig;wichtig;wichtig;weniger wichtig;weniger wichtig;ja;eher zufrieden;eher zufrieden;eher zufrieden;weniger gut;gar nicht;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme eher nicht zu;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3466316;,974956;2020/06/16;20000 bis 50000;Mecklenburg-Vorpommern;Ost;m;57;Studium;ja;zwei;zwei;würde nicht wählen;ja;3.500 Euro und mehr;Mobilfunk;sehr wichtig;sehr wichtig;wichtig;sehr wichtig;sehr wichtig;ja;sehr unzufrieden;eher zufrieden;sehr unzufrieden;gut;sehr stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;industrie, telemedizin, komunikation,;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme gar nicht zu;stimme eher zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3472886;4,736233;2020/06/16;500000 und mehr;Baden-Württemberg;West;w;28;Abitur;ja;zwei;zwei;Bündnis `90, Die Grünen;ja;2.500 bis unter 3.500 Euro;Mobilfunk;wichtig;wichtig;wichtig;gar nicht wichtig;wichtig;ja;sehr zufrieden;eher zufrieden;eher zufrieden;weniger gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schnelleres Internet;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme gar nicht zu;stimme eher zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3486394;,373779;2020/06/16;500000 und mehr;Bayern;West;m;32;Abitur;ja;zwei;zwei;FDP;ja;3.500 Euro und mehr;Mobilfunk;weniger wichtig;wichtig;wichtig;wichtig;weniger wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;gut;weniger stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Die ländlichen Gebiete wären besser mit dem Internet versorgt und können die Telefonie besser nutzen;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Eventuelle Naturschädigungen;stimme eher zu;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3494124;4,804819;2020/06/17;50000 bis 100000;Sachsen-Anhalt;Ost;w;36;Studium;ja;fuenf und mehr;zwei;SPD;ja;3.500 Euro und mehr;Mobilfunk;wichtig;sehr wichtig;sehr wichtig;gar nicht wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;sehr zufrieden;gar nicht gut;weniger stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Geschwindigkeit;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3501416;,926397;2020/06/18;500000 und mehr;Niedersachsen;West;m;43;Abitur;ja;drei;zwei;Bündnis `90, Die Grünen;ja;2.500 bis unter 3.500 Euro;Festnetz;wichtig;sehr wichtig;wichtig;sehr wichtig;wichtig;ja;eher zufrieden;eher zufrieden;sehr unzufrieden;gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Für die Wirtschaft.;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme eher nicht zu;weiß nicht, keine Angabe;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3508768;3,618266;2020/06/17;50000 bis 100000;Sachsen-Anhalt;Ost;m;56;Mittlerer Bildungsabschl;ja;zwei;zwei;würde nicht wählen;ja;2.500 bis unter 3.500 Euro;Mobilfunk;wichtig;wichtig;sehr wichtig;sehr wichtig;sehr wichtig;ja;eher zufrieden;sehr zufrieden;eher zufrieden;gut;weniger stark;ja;eher gegen Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Noch mehr Überwachung;stimme eher zu;weiß nicht, keine Angabe;stimme voll und ganz zu;weiß nicht, keine Angabe;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3511156;1,628983;2020/06/18;500000 und mehr;Niedersachsen;West;m;18;Mittlerer Bildungsabschl;nein;zwei;zwei;Bündnis `90, Die Grünen;ja;3.500 Euro und mehr;Festnetz;gar nicht wichtig;sehr wichtig;sehr wichtig;weniger wichtig;wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;gar nicht gut;stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Bessere Verbindungen.;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3514050;1,273975;2020/06/17;100000 bis 500000;Sachsen-Anhalt;Ost;m;42;Mittlerer Bildungsabschl;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;bis unter 1.500 Euro;Mobilfunk;sehr wichtig;weniger wichtig;weniger wichtig;wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;eher unzufrieden;weniger gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;im Straßenverkehr, schnellere Datenübermittlung;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3520575;,295673;2020/06/16;500000 und mehr;Bayern;West;m;19;Abitur;nein;vier;vier;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;weniger wichtig;sehr wichtig;ja;eher unzufrieden;eher zufrieden;sehr unzufrieden;gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;deutlich schneller;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;kostet alles auszubauen;stimme voll und ganz zu;stimme gar nicht zu;stimme voll und ganz zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3528248;,231851;2020/06/17;50000 bis 100000;Baden-Württemberg;West;m;51;Studium;ja;zwei;eine Person;CDU/CSU;ja;3.500 Euro und mehr;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;wichtig;sehr wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;gar nicht gut;stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3529996;4,097578;2020/06/16;500000 und mehr;Schleswig-Holstein;West;m;26;Studium;ja;zwei;zwei;Bündnis `90, Die Grünen;ja;bis unter 1.500 Euro;Mobilfunk;sehr wichtig;sehr wichtig;wichtig;wichtig;sehr wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;gar nicht gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schnelleres Mobilfunknetz;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3534804;1,595002;2020/06/17;500000 und mehr;Hessen;West;m;14;Schüler;nein;fuenf und mehr;vier; ; ;1.500 bis unter 2.500 Euro;Mobilfunk;wichtig;sehr wichtig;weniger wichtig;weniger wichtig;wichtig;ja;sehr zufrieden;sehr zufrieden;sehr zufrieden;gut;sehr stark;nein; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3538437;,310858;2020/06/17;500000 und mehr;Baden-Württemberg;West;w;54;Studium;ja;zwei;zwei;SPD;ja;3.500 Euro und mehr;Mobilfunk;wichtig;sehr wichtig;sehr wichtig;wichtig;wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;weniger gut;stark;ja;eher gegen Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher zu;weiß nicht, keine Angabe;stimme eher nicht zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3545136;,223565;2020/06/17;50000 bis 100000;Nordrhein-Westfalen;West;m;60;Studium;ja;drei;drei;CDU/CSU;ja;3.500 Euro und mehr;Mobilfunk;sehr wichtig;wichtig;wichtig;sehr wichtig;sehr wichtig;ja;eher zufrieden;sehr zufrieden;eher unzufrieden;weniger gut;sehr stark;ja;eher für Ausbau mit 5G;nicht genannt;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Digitalisierung der Industrie,;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Datenschutz fraglich;stimme voll und ganz zu;stimme gar nicht zu;stimme voll und ganz zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3546308;4,61866;2020/06/16;20000 bis 50000;Niedersachsen;West;m;21;Mittlerer Bildungsabschl;ja;drei;drei;SPD;ja;3.500 Euro und mehr;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;weniger wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;sehr zufrieden;weniger gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schneller, stabiler;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;erhöhte kosten;stimme voll und ganz zu;stimme gar nicht zu;stimme eher zu;stimme eher nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3548087;4,37217;2020/06/16;20000 bis 50000;Mecklenburg-Vorpommern;Ost;w;82;Volks-, Hauptschule;nein;zwei;zwei;würde nicht wählen;ja;1.500 bis unter 2.500 Euro;Mobilfunk;weniger wichtig;sehr wichtig;weniger wichtig;weniger wichtig;weniger wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;weniger gut;weniger stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;weiß nicht, keine Angabe;weiß nicht, keine Angabe;weiß nicht, keine Angabe;weiß nicht, keine Angabe;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3562988;2,218246;2020/06/16;500000 und mehr;Bayern;West;m;19;Mittlerer Bildungsabschl;nein;fuenf und mehr;fuenf und mehr;CDU/CSU;ja;keine Angabe;Mobilfunk;wichtig;wichtig;weniger wichtig;sehr wichtig;sehr wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;gar nicht gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schnelles und stabiles Internet und Funknetz;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt; ist schleppend, dauert zu lange;stimme voll und ganz zu;stimme gar nicht zu;weiß nicht, keine Angabe;stimme gar nicht zu;nein
